time,Temperature (°C),Pressure (Pa)
2018-02-21 22:05:21.346,21.41,102355.28
2018-02-21 22:05:21.350,21.41,102355.28
2018-02-21 22:05:21.352,21.42,102364.84
2018-02-21 22:05:21.354,21.42,102362.17
2018-02-21 22:05:21.358,21.42,102362.17
2018-02-21 22:05:21.362,21.42,102364.84
2018-02-21 22:05:21.366,21.42,102367.5
2018-02-21 22:05:21.370,21.41,102364.07
2018-02-21 22:05:21.374,21.41,102364.07
2018-02-21 22:05:21.378,21.41,102360.63
2018-02-21 22:05:21.383,21.42,102359.5
2018-02-21 22:05:21.386,21.41,102361.39
2018-02-21 22:05:21.388,21.41,102361.39
2018-02-21 22:05:21.391,21.42,102348.83
2018-02-21 22:05:21.395,21.42,102362.17
2018-02-21 22:05:21.399,21.42,102362.17
2018-02-21 22:05:21.403,21.41,102363.29
2018-02-21 22:05:21.408,21.42,102354.17
2018-02-21 22:05:21.411,21.41,102364.07
2018-02-21 22:05:21.416,21.41,102364.07
2018-02-21 22:05:21.419,21.42,102359.5
2018-02-21 22:05:21.423,21.42,102364.84
2018-02-21 22:05:21.425,21.42,102364.84
2018-02-21 22:05:21.428,21.41,102366.74
2018-02-21 22:05:21.431,21.42,102357.61
2018-02-21 22:05:21.436,21.42,102359.5
2018-02-21 22:05:21.440,21.42,102359.5
2018-02-21 22:05:21.445,21.42,102362.94
2018-02-21 22:05:21.448,21.42,102356.83
2018-02-21 22:05:21.452,21.42,102356.83
2018-02-21 22:05:21.456,21.42,102367.5
2018-02-21 22:05:21.460,21.42,102364.84
2018-02-21 22:05:21.467,21.42,102364.84
2018-02-21 22:05:21.474,21.42,102364.84
2018-02-21 22:05:21.476,21.42,102362.94
2018-02-21 22:05:21.477,21.42,102360.28
2018-02-21 22:05:21.478,21.42,102360.28
2018-02-21 22:05:21.481,21.42,102359.5
2018-02-21 22:05:21.485,21.42,102362.17
2018-02-21 22:05:21.490,21.42,102364.84
2018-02-21 22:05:21.493,21.42,102364.84
2018-02-21 22:05:21.496,21.42,102364.84
2018-02-21 22:05:21.498,21.43,102361.05
2018-02-21 22:05:21.502,21.43,102361.05
2018-02-21 22:05:21.505,21.42,102364.84
2018-02-21 22:05:21.509,21.43,102361.82
2018-02-21 22:05:21.513,21.42,102359.5
2018-02-21 22:05:21.519,21.42,102359.5
2018-02-21 22:05:21.522,21.42,102357.61
2018-02-21 22:05:21.525,21.42,102362.94
2018-02-21 22:05:21.530,21.43,102361.05
2018-02-21 22:05:21.533,21.43,102361.05
2018-02-21 22:05:21.534,21.43,102361.05
2018-02-21 22:05:21.538,21.42,102356.83
2018-02-21 22:05:21.543,21.42,102356.83
2018-02-21 22:05:21.546,21.43,102361.05
2018-02-21 22:05:21.550,21.43,102358.38
2018-02-21 22:05:21.555,21.43,102361.05
2018-02-21 22:05:21.559,21.43,102361.05
2018-02-21 22:05:21.563,21.42,102359.5
2018-02-21 22:05:21.567,21.44,102367.94
2018-02-21 22:05:21.571,21.44,102367.94
2018-02-21 22:05:21.572,21.42,102359.5
2018-02-21 22:05:21.575,21.43,102361.05
2018-02-21 22:05:21.579,21.42,102354.17
2018-02-21 22:05:21.583,21.42,102354.17
2018-02-21 22:05:21.587,21.44,102354.6
2018-02-21 22:05:21.591,21.43,102363.72
2018-02-21 22:05:21.595,21.43,102363.72
2018-02-21 22:05:21.599,21.42,102362.17
2018-02-21 22:05:21.604,21.43,102358.38
2018-02-21 22:05:21.607,21.42,102360.28
2018-02-21 22:05:21.608,21.42,102360.28
2018-02-21 22:05:21.612,21.42,102360.28
2018-02-21 22:05:21.616,21.43,102361.05
2018-02-21 22:05:21.619,21.43,102361.05
2018-02-21 22:05:21.623,21.42,102357.61
2018-02-21 22:05:21.628,21.43,102361.82
2018-02-21 22:05:21.633,21.42,102362.17
2018-02-21 22:05:21.636,21.42,102362.17
2018-02-21 22:05:21.640,21.43,102364.49
2018-02-21 22:05:21.645,21.43,102363.72
2018-02-21 22:05:21.646,21.43,102363.72
2018-02-21 22:05:21.649,21.43,102361.05
2018-02-21 22:05:21.653,21.43,102363.72
2018-02-21 22:05:21.657,21.42,102357.61
2018-02-21 22:05:21.661,21.42,102357.61
2018-02-21 22:05:21.665,21.43,102356.49
2018-02-21 22:05:21.669,21.43,102358.38
2018-02-21 22:05:21.673,21.43,102358.38
2018-02-21 22:05:21.677,21.43,102361.82
2018-02-21 22:05:21.681,21.43,102355.71
2018-02-21 22:05:21.683,21.43,102353.05
2018-02-21 22:05:21.686,21.43,102353.05
2018-02-21 22:05:21.690,21.43,102359.16
2018-02-21 22:05:21.694,21.43,102361.05
2018-02-21 22:05:21.698,21.43,102361.82
2018-02-21 22:05:21.702,21.43,102361.82
2018-02-21 22:05:21.707,21.44,102359.92
2018-02-21 22:05:21.710,21.43,102364.49
2018-02-21 22:05:21.714,21.43,102364.49
2018-02-21 22:05:21.718,21.43,102353.05
2018-02-21 22:05:21.719,21.43,102361.05
2018-02-21 22:05:21.722,21.42,102360.28
2018-02-21 22:05:21.726,21.42,102360.28
2018-02-21 22:05:21.730,21.43,102364.49
2018-02-21 22:05:21.735,21.43,102359.16
2018-02-21 22:05:21.739,21.43,102359.16
2018-02-21 22:05:21.743,21.43,102361.82
2018-02-21 22:05:21.747,21.44,102351.92
2018-02-21 22:05:21.752,21.43,102366.39
2018-02-21 22:05:21.756,21.43,102366.39
2018-02-21 22:05:21.757,21.43,102361.82
2018-02-21 22:05:21.760,21.43,102356.49
2018-02-21 22:05:21.763,21.43,102356.49
2018-02-21 22:05:21.767,21.44,102359.92
2018-02-21 22:05:21.771,21.43,102356.49
2018-02-21 22:05:21.776,21.43,102361.05
2018-02-21 22:05:21.779,21.43,102361.05
2018-02-21 22:05:21.784,21.43,102361.82
2018-02-21 22:05:21.789,21.43,102361.82
2018-02-21 22:05:21.792,21.43,102361.82
2018-02-21 22:05:21.794,21.43,102361.82
2018-02-21 22:05:21.797,21.44,102359.92
2018-02-21 22:05:21.801,21.43,102364.49
2018-02-21 22:05:21.805,21.43,102364.49
2018-02-21 22:05:21.809,21.44,102362.6
2018-02-21 22:05:21.813,21.44,102365.27
2018-02-21 22:05:21.817,21.44,102357.26
2018-02-21 22:05:21.821,21.44,102357.26
2018-02-21 22:05:21.825,21.44,102357.26
2018-02-21 22:05:21.829,21.43,102364.49
2018-02-21 22:05:21.830,21.43,102364.49
2018-02-21 22:05:21.833,21.44,102362.6
2018-02-21 22:05:21.838,21.44,102362.6
2018-02-21 22:05:21.842,21.44,102357.26
2018-02-21 22:05:21.846,21.44,102357.26
2018-02-21 22:05:21.849,21.44,102359.92
2018-02-21 22:05:21.854,21.44,102354.6
2018-02-21 22:05:21.858,21.44,102354.6
2018-02-21 22:05:21.862,21.44,102362.6
2018-02-21 22:05:21.866,21.43,102361.05
2018-02-21 22:05:21.870,21.44,102359.92
2018-02-21 22:05:21.871,21.44,102359.92
2018-02-21 22:05:21.874,21.44,102354.6
2018-02-21 22:05:21.878,21.44,102359.92
2018-02-21 22:05:21.883,21.44,102359.92
2018-02-21 22:05:21.886,21.42,102354.94
2018-02-21 22:05:21.890,21.43,102361.82
2018-02-21 22:05:21.895,21.44,102354.6
2018-02-21 22:05:21.898,21.44,102354.6
2018-02-21 22:05:21.903,21.44,102358.03
2018-02-21 22:05:21.906,21.44,102359.92
2018-02-21 22:05:21.908,21.44,102359.92
2018-02-21 22:05:21.911,21.43,102353.82
2018-02-21 22:05:21.915,21.44,102354.6
2018-02-21 22:05:21.919,21.44,102362.6
2018-02-21 22:05:21.923,21.44,102362.6
2018-02-21 22:05:21.927,21.44,102362.6
2018-02-21 22:05:21.931,21.44,102359.92
2018-02-21 22:05:21.936,21.44,102359.92
